Delta_allvsall1,Delta_allvsall2,Delta_allvsall3,Delta_allvsall4,Delta_allvsall5,Delta_allvsall6,Delta_allvsall7,Delta_allvsall8,Delta_allvsall9,Delta_allvsall10,Delta_allvsall11,Delta_allvsall12
0.420118343195266,0.119760479041916,0.0208333333333333,0.289719626168224,0.180428134556575,0.165322580645161,0.0675675675675676,0.0290697674418605,0.0209424083769634,0.00793650793650794,0.021978021978022,0.0744047619047619
0.104790419161677,0.11046511627907,0.043859649122807,0.0275229357798165,0.00597014925373134,0,0.0133333333333333,0.0174418604651163,0.0418848167539267,0,0,-0.140762463343109
-0.0476190476190476,-0.0409356725146199,-0.111111111111111,-0.00306748466257669,-0.062874251497006,-0.0161943319838057,0,-0.0233918128654971,-0.031413612565445,0,0,-0.451149425287356
0.283489096573209,0.018348623853211,-0.0337423312883436,0.302752293577982,0.0652173913043478,0.102040816326531,0.125560538116592,-0.0117647058823529,0.0106382978723404,0,0,0.0707692307692308
0.45565749235474,0.382089552238806,0.281437125748503,0.291925465838509,0.610119047619048,0.0890688259109312,0.0636363636363636,0.0581395348837209,0.236842105263158,0,0.0111111111111111,0.306306306306306
0.201612903225806,0.00806451612903226,0.0283400809716599,0.118367346938776,0.0323886639676113,0.213709677419355,0.04,0,0,0,0,0.104838709677419
0.207207207207207,0.0311111111111111,-0.00444444444444445,0.188340807174888,0.0545454545454545,0.0628571428571429,0.297777777777778,0.0260869565217391,0,0,0.0153846153846154,0.0355555555555555
0.0988372093023256,0.0988372093023256,0.0116959064327485,0.0352941176470588,0.0290697674418605,0.0448717948717949,0.0173913043478261,0.290697674418605,0.0176991150442478,0,0,0.209302325581395
0.0471204188481675,0.109947643979058,0.0261780104712042,0.0265957446808511,0.131578947368421,0.00641025641025641,0.0151515151515152,0.00884955752212389,0.183246073298429,0,0.0175438596491228,0.0575916230366492
0,0.00763358778625954,0,0,0,0,0,0,0,0,0,-0.0381679389312977
0.032967032967033,0,0.010752688172043,0.0112359550561798,0,0,0,0,0.0175438596491228,0,0.021505376344086,0
-0.110119047619048,-0.304985337243402,-0.646551724137931,-0.283076923076923,-0.384384384384384,-0.0967741935483871,-0.195555555555556,-0.0348837209302326,-0.0785340314136126,-0.0763358778625954,0.0108695652173913,0.848571428571429
